,Breed,Species,PetCount,AvgTotalClaims,AvgNumClaims,WeightedTotalClaims,WeightedNumClaims
256,Old English Sheepdog,Dog,28,1093.525,3.8214285714285716,30618.700000000004,107.0
257,Old Victorian Bulldogge,Dog,3,2281.763333333333,3.6666666666666665,6845.289999999999,11.0
258,Olde English Bulldog,Dog,118,3641.2802542372874,5.898305084745763,429671.0699999999,696.0
259,Oriental,Cat,10,1118.092,2.7,11180.920000000002,27.0
260,Otterhound,Dog,2,0.0,0.0,0.0,0.0
261,Papillon,Dog,73,748.8193150684931,1.6712328767123288,54663.81,122.0
262,Parson Russell Terrier,Dog,10,1390.481,2.1,13904.81,21.0
263,Patterdale Fell Terrier,Dog,2,683.405,2.0,1366.81,4.0
264,Peekapoo,Dog,1,0.0,0.0,0.0,0.0
265,Pekingese,Dog,43,1363.2569767441857,4.1395348837209305,58620.04999999999,178.0
266,Pembroke Welsh Corgi,Dog,334,1252.957005988024,2.682634730538922,418487.6400000001,896.0
267,Perro de Presa Canario,Dog,7,7225.33142857143,7.714285714285714,50577.32000000001,54.0
268,Persian,Cat,89,1190.8962921348316,2.303370786516854,105989.77,205.0
269,Peruvian Inca Orchid,Dog,1,0.0,0.0,0.0,0.0
270,Peterbald,Cat,4,1690.9775,2.0,6763.91,8.0
271,Petit Basset Griffon Vendeen,Dog,2,137.595,0.5,275.19,1.0
272,Pharaoh Hound,Dog,2,0.0,0.0,0.0,0.0
273,Pixiebob,Cat,10,0.0,0.0,0.0,0.0
274,Plott,Dog,14,1060.8857142857144,3.0,14852.400000000001,42.0
275,Pointer,Dog,23,3240.2634782608693,5.913043478260869,74526.06,136.0
276,Polish Lowland Sheepdog,Dog,5,3264.4880000000003,15.0,16322.440000000002,75.0
277,Pomapoo,Dog,13,1019.4746153846153,1.2307692307692308,13253.169999999998,16.0
278,Pomeranian,Dog,370,1575.1827027027036,2.9702702702702704,582817.6000000003,1099.0
279,Pomsky,Dog,72,1184.6398611111108,2.0833333333333335,85294.06999999998,150.0
280,Poochon,Dog,13,1141.1223076923077,2.923076923076923,14834.59,38.0
281,Poodle Miniature,Dog,241,1327.5330290456432,2.95850622406639,319935.46,713.0
282,Poodle Standard,Dog,379,1614.1144327176778,3.6596306068601585,611749.3699999999,1387.0
283,Poodle Toy,Dog,327,1870.8408256880732,3.9571865443425076,611764.95,1294.0
284,Porkie,Dog,2,899.425,2.5,1798.85,5.0
285,Portuguese Podengo,Dog,3,0.0,0.0,0.0,0.0
286,Portuguese Water Dog,Dog,133,1760.5627067669175,4.406015037593985,234154.84000000003,586.0
287,Prague Ratter,Dog,1,0.0,0.0,0.0,0.0
288,Pudelpointer,Dog,9,1313.0366666666666,2.111111111111111,11817.33,19.0
289,Pug,Dog,322,2179.834285714286,3.6366459627329193,701906.6400000001,1171.0
290,Puggle,Dog,59,1266.6703389830507,2.406779661016949,74733.54999999999,142.0
291,Puli,Dog,3,2483.893333333333,7.666666666666667,7451.6799999999985,23.0
292,Pumi,Dog,3,158.01666666666668,0.3333333333333333,474.05000000000007,1.0
293,Pyrenean Mountain Dog Great Pyrenees ,Dog,115,1555.4526086956525,2.382608695652174,178877.05000000005,274.0
294,Pyrenean Shepherd,Dog,1,0.0,0.0,0.0,0.0
295,Pyrenees Braque Francais,Dog,2,0.0,0.0,0.0,0.0
296,Ragdoll,Cat,194,1131.7091752577319,2.3402061855670104,219551.58,454.0
297,Rat Terrier,Dog,55,906.1421818181818,2.709090909090909,49837.82,149.0
298,Redbone Coonhound,Dog,13,451.83692307692303,1.7692307692307692,5873.879999999999,23.0
299,Rhodesian Ridgeback,Dog,91,2477.354835164834,4.56043956043956,225439.28999999992,415.0
300,Rottweiler,Dog,146,2310.7070547945214,3.8835616438356166,337363.2300000001,567.0
301,Russian Blue,Cat,65,555.251076923077,1.5384615384615385,36091.32000000001,100.0
302,Russian Bolonka,Dog,2,111.025,0.5,222.05,1.0
303,Saint Bernard,Dog,38,2883.273947368421,6.026315789473684,109564.41,229.0
304,Saluki Gazelle Hound ,Dog,4,976.5374999999999,2.75,3906.1499999999996,11.0
305,Samoyed,Dog,65,1962.912,3.876923076923077,127589.28,252.0
306,Savannah,Cat,28,970.4953571428571,1.7857142857142858,27173.87,50.0
307,Schipperke,Dog,9,1457.097777777778,2.3333333333333335,13113.880000000001,21.0
308,Schnauzer Standard,Dog,26,1508.5653846153846,2.1923076923076925,39222.7,57.00000000000001
309,Schnoodle,Dog,85,853.9597647058823,2.1058823529411765,72586.58,179.0
310,Scottish Deerhound,Dog,4,5825.6475,12.5,23302.59,50.0
311,Scottish Fold,Cat,54,864.882222222222,2.2777777777777777,46703.63999999999,123.0
312,Scottish Scottie Aberdeen Terrier,Dog,8,852.93375,1.5,6823.47,12.0
313,Scottish Terrier,Dog,31,795.8467741935484,2.3548387096774195,24671.25,73.0
314,Sealyham Terrier,Dog,1,2035.8,1.0,2035.8,1.0
315,Selkirk Rex,Cat,1,25578.19,26.0,25578.19,26.0
316,Shar Pei,Dog,39,3294.4430769230776,6.871794871794871,128483.28000000003,268.0
317,Sheepadoodle,Dog,87,1360.2513793103446,3.5517241379310347,118341.86999999998,309.0
318,Shetland Sheepdog,Dog,161,1144.74850931677,2.7142857142857144,184304.50999999995,437.0
319,Shiba Inu,Dog,176,1113.298295454545,2.9261363636363638,195940.49999999994,515.0
320,Shih Tzu,Dog,962,1224.3832224532234,2.897089397089397,1177856.6600000008,2787.0
321,Shihpoo,Dog,85,1574.7485882352942,2.7529411764705882,133853.63,234.0
322,Shikoku,Dog,3,897.1566666666666,3.0,2691.47,9.0
323,Shiloh Shepherd,Dog,13,1355.322307692308,3.8461538461538463,17619.190000000002,50.0
324,Siamese,Cat,178,976.0358988764045,1.8202247191011236,173734.39,324.0
325,Siberian,Cat,120,1058.9044999999996,1.875,127068.53999999995,225.0
326,Siberian Husky,Dog,457,1331.30886214442,2.573304157549234,608408.1499999999,1176.0
327,Silken Windhound,Dog,8,514.2175,1.75,4113.74,14.0
328,Silky Terrier,Dog,31,2446.4851612903226,4.483870967741935,75841.04,139.0
329,Singapura,Cat,5,1028.9360000000001,1.8,5144.68,9.0
330,Skye Terrier,Dog,1,0.0,0.0,0.0,0.0
331,Small Munsterlander,Dog,1,552.8800000000001,4.0,552.8800000000001,4.0
